Class,Order,Family,Genus,Species,Common_name,Location,Country,Region,Latitude,Longitude,System,T_realm,T_biome,FW_realm,FW_biome,M_realm,M_ocean,M_biome
Aves,Passeriformes,Muscicapidae,Copsychus,sechellarum,Seychelles magpie robin,"Fregate Island, Seychelles",Seychelles,Africa,-4.58333,55.93333,Terrestrial,Afrotropical,Tropical and subtropical moist broadleaf forests,NULL,NULL,NULL,NULL,NULL
Aves,Falconiformes,Falconidae,Falco,punctatus,Mauritius kestrel,"Western Population, Mauritius",Mauritius,Africa,-20.3,57.58333,Terrestrial,Afrotropical,Tropical and subtropical moist broadleaf forests,NULL,NULL,NULL,NULL,NULL
Aves,Galliformes,Phasianidae,Pternistis,ochropectus,Djibouti francolin,"Foret du Day, Djibouti",Djibouti,Africa,11.76667,42.65806,Terrestrial,Afrotropical,"Tropical and subtropical grasslands, savannas and shrublands",NULL,NULL,NULL,NULL,NULL
Aves,Falconiformes,Accipitridae,Gyps,coprotheres,Cape griffon / Cape vulture,Botswana,Botswana,Africa,-22,24,Terrestrial,Afrotropical,"Tropical and subtropical grasslands, savannas and shrublands",NULL,NULL,NULL,NULL,NULL
Aves,Falconiformes,Accipitridae,Gyps,coprotheres,Cape griffon / Cape vulture,Lesotho,Lesotho,Africa,-29.5,28.25,Terrestrial,Afrotropical,Montane grasslands and shrublands,NULL,NULL,NULL,NULL,NULL
Aves,Falconiformes,Accipitridae,Gyps,coprotheres,Cape griffon / Cape vulture,Mozambique,Mozambique,Africa,-18.25,35,Terrestrial,Afrotropical,"Tropical and subtropical grasslands, savannas and shrublands",NULL,NULL,NULL,NULL,NULL
Aves,Falconiformes,Accipitridae,Gyps,coprotheres,Cape griffon / Cape vulture,Namibia,Namibia,Africa,-22,17,Terrestrial,Afrotropical,Deserts and xeric shrublands,NULL,NULL,NULL,NULL,NULL
Aves,Falconiformes,Accipitridae,Gyps,coprotheres,Cape griffon / Cape vulture,Eastern Cape,South Africa,Africa,-32,26,Terrestrial,Afrotropical,Montane grasslands and shrublands,NULL,NULL,NULL,NULL,NULL
Aves,Falconiformes,Accipitridae,Gyps,coprotheres,Cape griffon / Cape vulture,Free State,South Africa,Africa,-29,26,Terrestrial,Afrotropical,Montane grasslands and shrublands,NULL,NULL,NULL,NULL,NULL
Aves,Falconiformes,Accipitridae,Gyps,coprotheres,Cape griffon / Cape vulture,Gauteng,South Africa,Africa,-26.08333,28.25,Terrestrial,Afrotropical,Montane grasslands and shrublands,NULL,NULL,NULL,NULL,NULL
Aves,Falconiformes,Accipitridae,Gyps,coprotheres,Cape griffon / Cape vulture,KwaZulu-Natal,South Africa,Africa,-29.61667,30.38333,Terrestrial,Afrotropical,Montane grasslands and shrublands,NULL,NULL,NULL,NULL,NULL
Aves,Falconiformes,Accipitridae,Gyps,coprotheres,Cape griffon / Cape vulture,Mpumalanga,South Africa,Africa,-29.81667,30.61667,Terrestrial,Afrotropical,Montane grasslands and shrublands,NULL,NULL,NULL,NULL,NULL
Aves,Falconiformes,Accipitridae,Gyps,coprotheres,Cape griffon / Cape vulture,NW Province,South Africa,Africa,-26.5,26,Terrestrial,Afrotropical,"Tropical and subtropical grasslands, savannas and shrublands",NULL,NULL,NULL,NULL,NULL
Aves,Falconiformes,Accipitridae,Gyps,coprotheres,Cape griffon / Cape vulture,Northern Cape,South Africa,Africa,-29.5,22,Terrestrial,Afrotropical,Deserts and xeric shrublands,NULL,NULL,NULL,NULL,NULL
