station,full,reduced,season,interchanges,code,network_rail_region,local_authority
Abbey Wood,776912,1203534,658010,0,ABW,Southern,Greenwich
Aber,53328,2286,18028,0,ABE,Wales and Western,Caerphilly
Abercynon,82314,2788,20720,11592,ACY,Wales and Western,Rhondda Cynon Taf
Aberdare,127684,7746,41920,0,ABA,Wales and Western,Rhondda Cynon Taf
Aberdeen,377336,1068760,90624,124666,ABD,Scotland,Aberdeen City
Aberdour,20356,39162,3472,0,AUR,Scotland,Fife
Aberdovey,16912,5974,0,0,AVY,Wales and Western,Gwynedd
Abererch,298,98,0,0,ABH,Wales and Western,Gwynedd
Abergavenny,139604,85586,58754,0,AGV,Wales and Western,Monmouthshire
Abergele and Pensarn,29896,26782,1878,0,AGL,Wales and Western,Conwy
Aberystwyth,76598,93646,1018,0,AYW,Wales and Western,Ceredigion
Accrington,97800,241050,46754,0,ACR,North West and Central,Lancashire
Achanalt,284,58,0,0,AAT,Scotland,Highland
Achnasheen,1332,1016,72,0,ACN,Scotland,Highland
Achnashellach,432,218,0,0,ACH,Scotland,Highland
Acklington,282,42,0,0,ACK,Eastern,Northumberland
Acle,11974,18924,2744,0,ACL,Eastern,Norfolk
Acocks Green,85500,119802,66252,0,ACG,North West and Central,Birmingham
Acton Bridge (Cheshire),15676,13638,1524,0,ACB,North West and Central,Cheshire West and Chester
Acton Central,441388,690174,201228,0,ACC,Eastern,Ealing
Acton Main Line,101384,178524,41168,0,AML,Wales and Western,Ealing
Adderley Park,35450,24926,13880,0,ADD,North West and Central,Birmingham
Addiewell,4708,5194,1324,0,ADW,Scotland,West Lothian
Addlestone,92242,95590,51358,0,ASN,Southern,Surrey
Adisham,5844,8336,5284,0,ADM,Southern,Kent
Adlington (Cheshire),8156,7294,1834,0,ADC,North West and Central,Cheshire East
Adlington (Lancashire),24450,43640,12724,0,ADL,North West and Central,Lancashire
Adwick,43592,47100,18312,0,AWK,Eastern,Doncaster
Aigburth,116090,248362,119036,0,AIG,North West and Central,Liverpool
Ainsdale,164300,466724,137004,0,ANS,North West and Central,Sefton
Aintree,148034,395156,182718,0,AIN,North West and Central,Sefton
Airbles,19340,33486,11342,0,AIR,Scotland,North Lanarkshire
Airdrie,137322,261222,78118,0,ADR,Scotland,North Lanarkshire
Albany Park,203242,222032,84352,0,AYP,Southern,Bexley
Albrighton,20582,25460,10036,0,ALB,North West and Central,Shropshire
Alderley Edge,92752,69996,34268,0,ALD,North West and Central,Cheshire East
Aldermaston,9344,25630,10030,0,AMT,Wales and Western,West Berkshire
Aldershot,263806,469698,154868,61281,AHT,Southern,Hampshire
Aldrington,38620,62764,21256,0,AGT,Southern,Brighton and Hove
Alexandra Palace,324556,522604,122212,49994,AAP,Eastern,Haringey
Alexandra Parade,55440,131434,12868,0,AXP,Scotland,Glasgow City
Alexandria,31632,55458,24344,0,ALX,Scotland,West Dunbartonshire
Alfreton,77120,156800,11990,0,ALF,Eastern,Derbyshire
Allens West,19058,27382,12310,0,ALW,Eastern,Stockton-on-Tees
Alloa,62136,174852,22006,0,ALO,Scotland,Clackmannanshire
Alness,11952,2248,1610,0,ASS,Scotland,Highland
Alnmouth,25766,251064,9052,294,ALM,Eastern,Northumberland
Alresford (Essex),12884,19506,14790,0,ALR,Eastern,Essex
Alsager,53286,19756,4142,0,ASG,North West and Central,Cheshire East
Althorne (Essex),7316,7144,4116,0,ALN,Eastern,Essex
Althorpe,1638,2088,762,0,ALP,Eastern,North Lincolnshire
Altnabreac,208,22,0,0,ABC,Scotland,Highland
Alton,108072,183120,95690,0,AON,Southern,Hampshire
Altrincham,69924,100594,51618,8,ALT,North West and Central,Trafford
Alvechurch,40852,25754,24518,0,ALV,North West and Central,Worcestershire
Ambergate,12524,14230,1098,0,AMB,Eastern,Derbyshire
Amberley,12714,26614,4990,0,AMY,Southern,West Sussex
Amersham,446908,633760,59672,0,AMR,North West and Central,Buckinghamshire
Ammanford,4854,2494,0,0,AMF,Wales and Western,Carmarthenshire
Ancaster,4268,664,1228,0,ANC,Eastern,Lincolnshire
Anderston,65164,99358,53124,0,AND,Scotland,Glasgow City
